iter	Passed	Remaining
851	9941	48402
852	9954	48393
853	9966	48384
854	9978	48377
855	9991	48371
856	10005	48371
857	10019	48369
858	10032	48364
859	10044	48351
860	10055	48339
861	10066	48323
862	10078	48312
863	10089	48297
864	10099	48280
865	10109	48259
866	10119	48240
867	10130	48225
868	10141	48212
869	10152	48194
870	10162	48177
871	10173	48161
872	10184	48146
873	10195	48130
874	10207	48119
875	10218	48106
876	10230	48094
877	10241	48081
878	10253	48070
879	10263	48053
880	10275	48041
881	10286	48026
882	10297	48011
883	10308	47997
884	10318	47979
885	10330	47965
886	10341	47954
887	10353	47944
888	10365	47935
889	10378	47927
890	10389	47913
891	10402	47905
892	10413	47894
893	10427	47891
894	10439	47879
895	10451	47869
896	10462	47858
897	10474	47847
898	10486	47837
899	10498	47827
900	10509	47810
901	10520	47797
902	10532	47785
903	10544	47777
904	10555	47763
905	10567	47751
906	10583	47757
907	10596	47753
908	10609	47749
909	10625	47754
910	10638	47752
911	10650	47742
912	10664	47737
913	10676	47728
914	10688	47718
915	10701	47713
916	10714	47708
917	10727	47701
918	10739	47690
919	10751	47678
920	10762	47666
921	10773	47651
922	10785	47640
923	10797	47631
924	10808	47615
925	10820	47603
926	10831	47592
927	10843	47579
928	10854	47563
929	10864	47545
930	10875	47531
931	10886	47517
932	10896	47499
933	10906	47480
934	10916	47461
935	10926	47442
936	10937	47426
937	10948	47411
938	10959	47397
939	10970	47384
940	10980	47365
941	10992	47353
942	11003	47338
943	11015	47327
944	11026	47315
945	11037	47300
946	11047	47281
947	11058	47268
948	11073	47270
949	11087	47266
950	11100	47261
951	11113	47257
952	11126	47247
953	11139	47242
954	11151	47232
955	11162	47218
956	11176	47217
957	11190	47216
958	11206	47219
959	11218	47212
960	11231	47205
961	11244	47200
962	11258	47195
963	11272	47194
964	11292	47216
965	11310	47233
966	11330	47256
967	11347	47267
968	11362	47265
969	11378	47274
970	11391	47268
971	11406	47266
972	11420	47266
973	11433	47260
974	11446	47254
975	11460	47251
976	11472	47240
977	11485	47235
978	11498	47226
979	11510	47215
980	11522	47204
981	11533	47191
982	11544	47176
983	11556	47164
984	11568	47153
985	11579	47138
986	11590	47126
987	11601	47112
988	11613	47101
989	11625	47089
990	11637	47077
991	11649	47067
992	11660	47054
993	11672	47041
994	11684	47032
995	11697	47026
996	11712	47026
997	11725	47019
998	11739	47017
999	11752	47011
1000	11767	47011
1001	11781	47007
1002	11794	47000
1003	11808	47000
1004	11822	46996
1005	11837	46998
1006	11852	46996
1007	11867	47000
1008	11883	47002
1009	11897	47002
1010	11911	46996
1011	11925	46994
1012	11938	46986
1013	11950	46976
1014	11961	46961
1015	11972	46947
1016	11983	46933
1017	11996	46924
1018	12009	46917
1019	12021	46907
1020	12031	46889
1021	12042	46873
1022	12053	46857
1023	12064	46842
1024	12075	46828
1025	12086	46815
1026	12099	46806
1027	12111	46795
1028	12122	46783
1029	12134	46770
1030	12145	46757
1031	12157	46744
1032	12169	46734
1033	12179	46716
1034	12191	46704
1035	12203	46694
1036	12215	46684
1037	12227	46670
1038	12238	46656
1039	12250	46647
1040	12262	46636
1041	12275	46627
1042	12286	46612
1043	12297	46599
1044	12308	46585
1045	12321	46578
1046	12333	46567
1047	12346	46557
1048	12359	46549
1049	12373	46546
1050	12386	46539
1051	12400	46539
1052	12414	46533
1053	12427	46526
1054	12442	46525
1055	12456	46523
1056	12470	46519
1057	12483	46513
1058	12497	46510
1059	12512	46509
1060	12525	46501
1061	12537	46491
1062	12550	46483
1063	12562	46473
1064	12573	46457
1065	12584	46443
1066	12594	46425
1067	12605	46409
1068	12616	46392
1069	12626	46377
1070	12637	46360
1071	12648	46345
1072	12660	46335
1073	12671	46318
1074	12682	46306
1075	12693	46292
1076	12703	46274
1077	12715	46261
1078	12725	46245
1079	12736	46228
1080	12746	46212
1081	12758	46197
1082	12767	46177
1083	12778	46161
1084	12788	46144
1085	12798	46127
1086	12809	46113
1087	12819	46094
1088	12831	46081
1089	12843	46070
1090	12854	46055
1091	12865	46044
1092	12876	46028
1093	12887	46014
1094	12899	46001
1095	12911	45991
1096	12924	45983
1097	12937	45977
1098	12951	45972
1099	12963	45960
1100	12976	45953
1101	12989	45947
1102	13004	45944
1103	13017	45938
1104	13029	45926
1105	13041	45915
1106	13052	45903
1107	13064	45890
1108	13075	45876
1109	13086	45861
1110	13097	45847
1111	13109	45835
1112	13120	45822
1113	13132	45809
1114	13142	45792
1115	13153	45779
1116	13163	45758
1117	13175	45749
1118	13186	45733
1119	13198	45724
1120	13210	45712
1121	13222	45699
1122	13233	45686
1123	13243	45669
1124	13253	45652
1125	13264	45637
1126	13276	45624
1127	13287	45609
1128	13298	45595
1129	13309	45580
1130	13321	45570
1131	13333	45561
1132	13345	45549
1133	13357	45536
1134	13367	45521
1135	13379	45510
1136	13390	45495
1137	13402	45483
1138	13413	45469
